giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien
4500000,42.0,21.053614,105.788117,nhatang,7.8,5.0,khepkin,8,2
5700000,50.0,21.012272,105.807062,nhatang,3.9,250.0,khepkin,10,8
2000000,20.0,21.057599,105.78522,nhatang,3.7,130.0,khepkin,4,2
1500000,18.0,21.058918,105.784535,nhatang,2.8,120.0,khepkin,1,3
2200000,26.0,21.053792,105.786237,nhatang,2.5,87.0,khepkin,1,3
1500000,19.0,21.058934,105.784545,nhatang,2.8,120.0,khepkin,3,2
2500000,20.0,21.05136,105.789157,nhatang,5.5,20.0,khepkin,2,4
3000000,25.0,20.979702,105.780597,nhatang,3.6,90.23,khepkin,5,3
3200000,25.0,20.979614,105.780206,nhatang,3.6,23.23,khepkin,4,4
2500000,14.0,20.976478,105.780946,nhatang,3.2,60.4,khepkin,4,1
6500000,70.0,20.9867708,105.7801399,nhatang,6.3,10.5,khepkin,2,2
4200000,40.0,20.980082,105.779856,nhatang,3.2,12.5,khepkin,4,3
3200000,20.0,20.979588,105.780113,nhatang,2.1,20.5,khepkin,5,4
2900000,25.0,20.979614,105.780206,nhacap,3.6,100.23,khepkin,4,4
1500000,9.0,20.9806809,105.77902316,nhatang,5.4,10.5,khepkin,1,1
4500000,50.0,21.040638,105.80851,nhatang,6.2,128.0,kkk,5,4
2900000,27.0,21.037411,105.808723,nhatang,6.6,168.0,khepkin,5,4
1800000,18.0,21.034672,105.805896,nhatang,7.2,10.0,khepkin,5,5
1400000,12.0,21.050572,105.770793,nhatang,5.3,2.0,kkk,8,7
3100000,25.0,20.979614,105.780206,nhatang,3.6,100.23,khepkin,4,4
1700000,20.0,21.034901,105.807191,nhatang,3.5,10.0,khepkin,3,4
2200000,25.0,21.032822,105.804689,nhatang,4.3,20.56,khepkin,2,5
2200000,18.0,21.041531,105.806798,nhatang,9.2,5.0,khepkin,5,4
2000000,25.0,21.050085,105.810452,nhatang,2.7,242.0,kkk,1,3
3400000,30.0,20.9798652,105.7785912,ccmn,2.7,242.0,khepkin,5,5
3500000,25.0,20.979614,105.780206,nhatang,4.3,23.23,khepkin,6,4
3400000,30.0,20.9755388,105.7863626,ccmn,2.7,242.0,khepkin,5,5
3800000,60.0,20.989358,105.773396,nhatang,5.8,479.93,khepkin,2,2
1400000,17.0,20.984083,105.768282,ccmn,3.4,77.96,khepkin,4,2
1600000,20.0,20.97426,105.764257,ccmn,5.0,318.0,khepkin,2,3
4800000,50.0,21.012272,105.807062,nhacap,2.3,369.0,khepkin,10,8
1500000,20.0,20.97426,105.764257,ccmn,5.09,318.0,khepkin,2,3
1600000,25.0,20.978694,105.774148,nhatang,4.42,242.0,khepkin,2,2
1600000,25.0,20.978694,105.774148,nhatang,4.42,242.0,khepkin,2,2
1200000,15.0,20.995255,105.819164,ccmn,2.7,169.62,khepkin,2,2
2500000,20.0,20.9880064,105.8183255,nhatang,3.9,120.7,khepkin,5,2
2700000,26.0,20.993895,105.817199,nhatang,2.7,242.0,khepkin,5,5
2900000,25.0,21.01635,105.8048,Nhatang,2.7,182.0,kkk,4,5
1400000,25.0,20.978694,105.774148,nhacap,4.42,242.0,khepkin,2,2
1700000,20.0,20.9887717,105.8180319,nhatang,2.8,218.21,khepkin,4,3
2800000,26.0,20.990328,105.817969,nhatang,3.4,20.8,kkk,3,4
3000000,32.0,20.990688,105.818072,nhatang,3.4,89.67,kkk,2,4
3700000,25.0,21.052268,105.811574,ccmn,4.8,24.0,khepkin,10,10
1700000,14.0,20.991049,105.818024,nhatang,2.6,98.6,khepkin,3,2
1600000,14.0,21.049571,105.770051,nhatang,5.27,2.0,khepkin,8,6
1600000,20.0,20.991627,105.819112,nhatang,2.2,298.0,khepkin,5,3
1300000,12.0,20.992227,105.820309,ccmn,2.3,209.75,khepkin,1,2
1500000,12.0,20.992245,105.818293,ccmn,2.75,180.0,khepkin,1,2
2000000,13.0,20.987522,105.819412,nhatang,3.8,72.8,khepkin,4,2
1200000,12.0,20.992233,105.818608,ccmn,2.2,310.25,kkk,1,2
1700000,20.0,20.991391,105.820235,ccmn,2.2,253.5,khepkin,5,4
2200000,25.0,20.987827,105.81866,nhatang,2.7,40.5,khepkin,4,3
1300000,12.0,21.049571,105.770051,nhacap,5.27,2.0,khepkin,4,6
3500000,28.0,20.985445,105.819687,nhatang,4.6,398.0,khepkin,5,3
1200000,12.0,20.992227,105.820309,ccmn,2.5,209.75,khepkin,1,2
2000000,22.0,20.984185,105.819058,ccmn,3.0,307.01,khepkin,1,3
1300000,12.0,20.988991,105.819619,ccmn,2.8,140.8,khepkin,1,2
4000000,24.0,21.024536,105.825177,nhatang,3.4,30.0,khepkin,10,8
1300000,12.0,20.988554,105.820058,ccmn,2.5,182.8,khepkin,1,2
1400000,12.0,20.9921241,105.8180594,ccmn,2.5,210.75,khepkin,1,2
2500000,50.0,20.991323,105.820339,ccmn,1.8,312.35,khepkin,2,2
2500000,25.0,20.98542,105.8197,ccmn,2.9,40.67,khepkin,2,3
3200000,24.0,21.024536,105.825177,nhatang,1.9,320.0,khepkin,5,5
2000000,16.0,20.99202,105.81964,ccmn,2.5,270.75,khepkin,1,2
1500000,12.0,21.049571,105.770051,nhatang,5.27,2.0,khepkin,4,6
1200000,11.0,20.992293,105.819538,ccmn,2.5,260.75,khepkin,1,2
1400000,13.0,20.991957,105.816777,ccmn,2.9,48.67,khepkin,1,2
1400000,13.0,20.9899079,105.8172975,ccmn,2.5,210.75,khepkin,1,2
2000000,20.0,20.99146,105.819279,ccmn,2.7,188.75,khepkin,1,2
3800000,25.0,21.01635,105.8048,Nhatang,3.8,51.9,Khepkin,7,8
700000,10.0,20.983528,105.818179,nhacap,2.4,160.0,kkk,1,2
1400000,13.0,20.990592,105.816782,ccmn,3.2,63.8,khepkin,1,2
2400000,25.0,20.990762,105.818379,nhatang,3.5,95.67,kkk,2,4
1200000,12.0,20.993577,105.820494,ccmn,2.5,130.75,khepkin,1,3
420000,20.0,20.991726,105.817356,nhacap,5.8,2.0,kkk,1,1
1600000,12.0,20.992227,105.820309,ccmn,2.7,30.75,khepkin,4,2
2700000,30.0,21.047,105.798449,nhatang,4.6,60.79,khepkin,4,5
1700000,16.0,21.04324,105.804756,nhatang,3.5,79.5,kkk,3,6
1600000,16.0,21.04294,105.804107,nhatang,3.5,140.5,kkk,3,6
2000000,20.0,21.042991,105.803651,nhatang,3.5,163.27,kkk,6,4
2000000,25.0,21.04233,105.80376,nhatang,2.9,122.27,khepkin,6,2
2500000,20.0,21.045836,105.785711,nhatang,3.5,5.7,khepkin,7,6
1600000,13.0,21.050572,105.770793,nhatang,5.27,2.0,khepkin,6,7
2400000,20.0,21.045535,105.784717,nhatang,3.5,15.7,khepkin,7,6
1900000,22.0,21.048169,105.795002,nhatang,2.2,160.83,khepkin,2,5
1800000,25.0,21.04233,105.80376,nhatang,2.9,122.27,kkk,6,2
4500000,60.0,21.047617,105.798362,nhatang,4.57,57.9,khepkin,7,7
2000000,20.0,21.045419,105.803782,nhatang,2.5,70.5,kkk,3,6
2000000,25.0,21.046954,105.798932,nhatang,2.3,65.5,kkk,3,6
2200000,25.0,21.04233,105.80376,nhatang,3.5,122.27,kkk,6,2
3000000,25.0,21.047259,105.793377,nhatang,4.57,89.5,khepkin,6,7
2500000,24.0,21.043248,105.804118,nhatang,4.4,137.27,khepkin,6,7
3300000,25.0,21.047389,105.783213,ccmn,4.28,117.5,khepkin,7,5
3500000,18.0,21.045874,105.785487,nhatang,12.6,2.5,khepkin,9,8
3500000,30.0,21.047593,105.788003,nhatang,4.4,140.97,khepkin,9,8
3500000,25.0,21.047033,105.788249,nhatang,4.4,65.97,khepkin,9,8
4000000,25.0,21.043559,105.790875,nhatang,10.5,3.0,khepkin,9,8
3900000,30.0,21.046802,105.791142,nhatang,4.5,60.24,khepkin,7,5
2000000,20.0,21.048196,105.792279,nhatang,3.3,60.24,khepkin,8,5
2500000,17.0,21.045087,105.800932,nhatang,4.3,120.9,khepkin,9,4
6500000,50.0,21.0460511,105.7916743,ccmn,4.83,48.24,khepkin,9,6
1399000,20.0,20.995773,105.842988,ccmn,2.5,7.25,khepkin,8,4
900000,12.0,21.047265,105.779857,nhacap,2.9,110.0,kkk,1,4
2800000,20.0,21.0214975,105.7748568,nhatang,3.5,230.0,khepkin,8,6
1900000,35.0,21.0840545,105.9036039,nhatang,1.7,540.0,khepkin,4,5
2200000,12.0,20.9713024,105.7845287,ccmn,3.4,100.0,khepkin,10,10
2000000,17.0,21.0008467,105.8138979,nhatang,1.8,250.0,khepkin,3,8
3900000,25.0,21.0695076,105.8378366,Ccmm,3.4,120.0,khepkin,14,10
2800000,40.0,21.0232535,105.7741861,ccmn,2.2,700.0,khepkin,9,6
3800000,25.0,20.9911163,105.8483697,ccmn,4.7,20.0,khepkin,13,10
3200000,17.0,21.0648454,105.8349501,nhatang,3.0,300.0,khepkin,12,8
2300000,26.0,21.0506076,105.7909724,nhatang,3.2,550.0,kkk,5,6
2700000,30.0,21.0024642,105.9026115,Nhatang,2.5,300.0,khepkin,8,8
3100000,25.0,21.0550926,105.8088761,nhatang,3.6,230.0,khepkin,8,9
1500000,20.0,21.0092023,105.7948642,nhatang,3.2,350.0,kkk,8,4
2500000,20.0,21.0057511,105.8195551,nhatang,2.2,280.0,khepkin,11,6
3500000,40.0,21.0232535,105.7741861,ccmn,3.4,200.0,khepkin,10,10
2100000,35.0,21.0840545,105.9036039,nhatang,3.5,5.0,khepkin,9,7
2600000,20.0,21.0214975,105.7748568,nhatang,3.2,500.0,khepkin,5,6
3100000,25.0,20.9911163,105.8483697,ccmn,2.6,150.0,khepkin,7,6
3500000,25.0,21.0764867,105.8147999,ccmn,4.8,5.0,khepkin,13,9
2000000,18.0,20.9873103,105.8638953,nhatang,3.2,5.0,khepkin,8,6
2700000,18.0,20.9873103,105.8638953,nhatang,3.8,5.0,khepkin,8,6
2000000,25.0,21.0550926,105.8088761,nhacap,3.6,100.0,khepkin,7,7
3000000,30.0,21.0215123,105.8290527,nhatang,1.8,300.0,khepkin,9,8
3400000,30.0,21.0215123,105.8290527,nhatang,2.7,280.0,khepkin,10,10
2100000,26.0,21.0506076,105.7909724,nhatang,2.1,690.0,khepkin,4,4
2300000,30.0,21.0215123,105.8290527,nhacap,1.8,370.0,khepkin,3,5
2800000,38.0,21.0575538,105.9024322,Ccmm,2.8,100.0,khepkin,10,8
2900000,18.0,21.0641913,105.8097712,nhatang,2.6,150.0,khepkin,9,6
2000000,25.0,20.9604869,105.8682143,nhatang,3.0,400.0,kkk,8,6
2600000,25.0,20.9604869,105.8682143,nhatang,3.0,200.0,khepkin,8,9
3200000,25.0,21.0695076,105.8378366,Ccmm,1.8,400.0,khepkin,8,8
3800000,46.0,20.998522,105.811098,nhatang,2.3,37.2,khepkin,6,5
2700000,15.0,21.023228,105.807653,ccmn,5.2,2.0,khepkin,11,8
1400000,15.0,21.023228,105.807653,nhacap,5.2,2.0,kkk,4,6
4300000,40.0,20.998522,105.811098,ccmn,2.8,37.2,khepkin,10,8
2400000,18.0,21.010923,105.822308,nhatang,6.5,3.0,khepkin,7,7
2300000,22.0,21.0587451,105.89450557624,nhatang,4.2,1.5,khepkin,7,2
2200000,16.0,20.959836841,105.80267787318,nhatang,2.5,1.9,khepkin,9,3
2200000,15.0,20.993054392,105.8166178319,nhatang,3.2,32.0,khepkin,7,3
1200000,20.0,21.03356755,105.75942358314,nhatang,1.9,2.0,khepkin,2,2
4000000,25.0,21.061551029,105.8353240928,nhatang,6.5,5.0,khepkin,8,2
4000000,40.0,21.002568881,105.80216317884,nhatang,3.4,25.0,khepkin,1,3
1600000,15.0,21.010923,105.822308,nhacap,5.5,3.0,khepkin,6,5
2500000,20.0,21.017537,105.829508,nhatang,7.0,2.5,khepkin,7,7
1300000,15.0,21.017537,105.829508,nhacap,7.0,2.5,kkk,2,2
1900000,20.0,20.986776,105.814256,nhatang,1.8,32.5,khepkin,2,2
2900000,25.0,20.986776,105.814256,ccmn,1.8,32.5,khepkin,10,4
2200000,25.0,20.9604869,105.8682143,nhatang,2.1,400.0,khepkin,6,7
3000000,20.0,21.0214975,105.7748568,ccmn,3.2,150.0,khepkin,9,9
1500000,24.0,20.9518134,105.837288,Nhacap,1.8,1200.0,kkk,2,2
2000000,18.0,20.9873103,105.8638953,nhatang,3.2,5.0,khepkin,8,6
1700000,30.0,21.0024642,105.9026115,Nhacap,2.0,800.0,khepkin,6,4
2300000,16.0,21.0315048,105.8020914,nhatang,1.8,200.0,khepkin,8,5
2500000,24.0,20.9518134,105.837288,nhatang,3.8,320.0,khepkin,2,6
800000,12.0,20.9713024,105.7845287,nhatang,2.4,100.0,khepkin,2,6
1200000,12.0,20.9713024,105.7845287,nhatang,4.3,100.0,khepkin,8,9
1700000,24.0,20.9518134,105.837288,Nhacap,1.8,170.0,kkk,8,8
800000,12.0,21.043319,105.748683,nhacap,2.8,250.0,kkk,1,1
2200000,30.0,21.0024642,105.9026115,Nhacap,2.0,200.0,khepkin,10,7
1600000,20.0,21.053899,105.783712,nhacap,2.9,30.0,kkk,2,3
4500000,30.0,21.035526,105.852996,nhatang,4.3,3.0,khepkin,9,4
2600000,25.0,21.052268,105.811574,nhacap,4.8,201.0,khepkin,5,6
2500000,18.0,20.996615,105.85659,nhatang,3.2,20.0,khepkin,5,4
2000000,18.0,20.96719,105.836811,nhatang,5.7,97.67,kkk,4,5
1600000,12.0,21.024991,105.825941,nhatang,2.7,130.0,khepkin,2,7
3000000,20.0,21.009346,105.796969,nhatang,3.85,30.0,khepkin,10,5
3500000,28.0,20.999226,105.816492,nhatang,4.3,95.0,khepkin,4,8
4500000,34.0,20.997068,105.810787,nhatang,14.5,4.0,khepkin,8,6
2300000,30.0,20.977083,105.823595,nhatang,5.9,61.24,khepkin,5,3
4000000,20.0,21.035478,105.810557,nhatang,10.0,6.1,khepkin,7,7
