nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2021,4,3700000,24.0,21.024536,105.825177,Nhatang,1.9,188.0,Khepkin,1,0,1,1,0,0,0,1,0,0,0,0
2021,4,3500000,25.0,21.076258,105.81529,Ccmn,12.0,2.0,Khepkin,1,0,1,0,1,0,1,0,0,1,0,0
2021,4,2800000,28.0,20.994409,105.776969,Ccmn,4.5,49.7,Khepkin,1,1,1,1,0,0,0,1,0,0,0,1
2020,12,4000000,30.0,21.061523,105.836001,Ccmn,3.2,237.0,Khepkin,1,0,1,1,1,1,1,1,0,0,1,1
2020,12,3500000,25.0,20.983793,105.784678,Ccmn,3.8,2.0,Khepkin,1,1,1,1,1,1,0,1,0,1,1,1
2020,12,2800000,23.0,20.994748,105.775755,Ccmn,3.2,96.0,Khepkin,1,0,1,1,0,0,0,0,0,0,0,0
2020,12,2300000,28.0,20.972745,105.834669,Nhatang,1.8,55.0,Khepkin,1,0,1,1,1,1,0,1,0,0,0,1
2020,12,2000000,22.0,20.997953,105.887407,Nhatang,3.2,48.0,Khepkin,0,0,0,0,0,0,0,0,1,0,0,1
2020,11,3000000,30.0,20.988543,105.845019,Ccmn,2.6,98.0,Khepkin,0,0,1,1,0,0,1,0,0,0,0,1
2020,12,3500000,25.0,21.013791,105.771107,Ccmn,3.0,30.0,Khepkin,1,1,1,1,1,1,1,0,0,0,0,1
2020,11,2800000,23.0,20.993628,105.776226,Ccmn,5.2,5.0,Khepkin,1,0,1,1,0,0,0,0,0,1,1,0
2021,1,3800000,40.0,21.011762,105.778787,Ccmn,2.5,160.0,Khepkin,1,1,1,1,0,0,0,1,0,1,1,1
2020,8,3000000,24.0,20.988853,105.857346,Nhatang,2.4,72.0,Khepkin,1,0,1,1,0,0,0,1,0,0,0,1
2020,8,1700000,15.0,20.99659,105.876133,Nhatang,4.4,335.0,Khepkin,1,0,1,0,0,0,0,0,0,0,0,1
2020,8,2800000,28.0,20.983526,105.882606,Ccmn,2.2,255.0,Khepkin,1,1,1,1,0,0,0,1,0,1,0,0
2020,6,1500000,20.0,21.072576,105.905518,Nhatang,3.5,44.0,Khepkin,0,0,1,1,0,1,0,0,0,0,0,0
2020,5,2000000,17.0,21.028676,105.798345,Nhatang,2.4,87.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2020,6,900000,13.0,21.065988,105.777804,Nhacap,1.9,140.0,Khepkin,0,0,0,0,0,0,0,0,0,0,0,1
2020,7,2000000,16.0,20.984852,105.876317,Nhatang,2.0,108.0,Khepkin,1,1,0,0,0,0,0,0,0,0,0,1
2020,5,3500000,30.0,21.026225,105.836024,Nhatang,2.0,59.0,Khepkin,1,0,1,1,0,0,0,0,0,0,1,0
2021,4,1400000,14.0,21.004622,105.850164,Nhatang,2.4,93.11,KKK,1,0,0,0,0,0,0,0,0,0,1,0
2021,3,3000000,25.0,21.005821,105.782432,Ccmn,4.6,15.4,Khepkin,1,0,1,1,0,1,0,1,1,0,0,1
2020,12,3400000,23.0,20.9807766,105.804173,Nhatang,2.8,600.0,Khepkin,1,1,0,0,1,1,0,1,0,0,0,1
2020,12,1100000,25.0,20.9948117,105.7901626,Nhacap,2.4,150.0,KKK,1,0,0,1,0,1,0,0,0,0,1,0
2020,12,2700000,20.0,21.035935,105.8099499,Nhatang,2.6,400.0,Khepkin,1,1,1,0,0,0,0,0,0,0,1,0
2020,12,3000000,18.0,20.9863393,105.8635604,Nhatang,2.6,300.0,Khepkin,0,0,1,1,0,1,0,0,0,0,1,0
2020,12,6000000,50.0,21.0071817,105.8211972,Ccmn,2.8,200.0,Khepkin,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,3000000,15.0,21.0046193,105.8328982,Nhatang,2.6,130.0,Khepkin,1,0,1,1,1,0,0,0,0,0,0,0
2020,10,4000000,30.0,21.0270708,105.7731158,Ccmn,2.8,600.0,Khepkin,1,0,0,1,0,1,0,0,0,0,0,1
2020,11,3000000,30.0,21.0047418,105.8697377,Nhatang,2.6,100.0,Khepkin,1,1,1,0,0,0,0,1,0,0,0,0
2020,10,3200000,20.0,20.9860933,105.7983636,Nhatang,2.4,150.0,Khepkin,1,0,1,1,0,0,0,0,0,0,1,0
2020,10,6800000,60.0,21.011955,105.805172,Ccmn,2.2,86.0,Khepkin,1,1,1,1,0,0,0,1,0,0,1,0
2020,10,2800000,18.0,21.0180243,105.7757127,Nhatang,1.8,350.0,KKK,1,1,1,1,0,1,0,0,0,0,0,1
2020,10,1500000,20.0,21.075483,105.902142,Nhatang,6.0,20.0,KKK,0,0,1,1,0,1,0,0,0,0,1,0
2020,10,1500000,12.0,20.992468,105.825549,Nhacap,2.0,2.0,KKK,1,0,1,0,0,0,0,0,0,0,0,1
2020,10,3900000,25.0,21.032481,105.826863,Nhatang,7.7,2.0,Khepkin,1,0,1,1,0,1,0,1,0,0,0,1
2020,10,3500000,50.0,20.9940564,105.9377185,Nhatang,3.4,500.0,Khepkin,1,0,1,1,1,0,0,0,0,1,0,1
2020,10,2800000,25.0,20.996232,105.821031,Nhatang,3.2,84.0,KKK,1,1,1,1,0,1,0,0,0,0,0,1
2020,10,4000000,39.0,21.035075,105.806934,Nhatang,2.0,106.0,Khepkin,1,0,1,1,1,1,0,0,0,0,0,0
2021,3,2800000,28.0,20.994115,105.776873,Ccmn,4.2,20.15,Khepkin,1,1,1,1,0,0,0,1,0,1,0,1
2021,3,4000000,30.0,21.008353,105.781992,Ccmn,12.9,1.0,Khepkin,1,1,1,1,0,0,0,1,0,1,0,1
2021,4,4000000,35.0,21.060271,105.83619,Nhatang,2.8,218.0,Khepkin,1,0,1,1,1,1,1,1,0,0,0,1
2020,7,3000000,25.0,21.022907,105.827362,Nhatang,3.0,65.0,Khepkin,0,0,0,1,0,0,0,0,0,0,0,0
2020,8,3000000,15.0,21.055034,105.83953,Nhatang,4.1,2.0,Khepkin,1,1,0,0,0,0,0,1,0,0,0,0
2020,8,2400000,30.0,20.994986,105.826305,Nhatang,3.1,130.0,Khepkin,1,0,0,1,0,0,0,0,0,0,1,0
2020,7,1200000,8.0,21.032815,105.797207,Nhatang,2.1,150.0,KKK,1,1,1,0,0,0,0,0,0,0,0,0
2020,7,2300000,15.0,21.053552,105.863132,Ccmn,2.5,97.0,Khepkin,1,0,0,0,1,0,0,1,0,0,0,0
2020,7,1500000,15.0,20.994359,105.827827,Nhatang,1.7,183.0,KKK,1,0,1,1,0,1,0,0,0,0,0,1
2020,8,1500000,21.0,21.0363549,105.86781541,Nhacap,5.2,10.0,KKK,0,0,0,0,0,0,0,1,0,0,0,0
2020,8,2700000,20.0,21.024141,105.816699,Nhatang,2.0,28.0,Khepkin,1,1,1,1,0,1,0,1,0,0,0,1
2021,3,2800000,18.0,21.005737,105.782281,Nhatang,4.6,35.3,Khepkin,1,0,1,1,0,1,0,1,1,0,1,1
2021,3,3300000,25.0,21.008978,105.796913,Nhatang,3.9,18.5,Khepkin,1,1,1,1,0,1,0,1,0,0,0,0
